key;dep;nomdep;codecommune;nomcommune
02095;02;AISNE;02095;BOHAIN-EN-VERMANDOIS
02096;02;AISNE;02096;BOIS-LÈS-PARGNY
02097;02;AISNE;02097;BONCOURT
02098;02;AISNE;02098;BONNEIL
02099;02;AISNE;02099;BONNESVALYN
02100;02;AISNE;02100;BONY
02101;02;AISNE;02101;BOSMONT-SUR-SERRE
02102;02;AISNE;02102;BOUCONVILLE-VAUCLAIR
02103;02;AISNE;02103;BOUÉ
02104;02;AISNE;02104;BOUFFIGNEREUX
02105;02;AISNE;02105;BOURESCHES
02106;02;AISNE;02106;BOURG-ET-COMIN
02107;02;AISNE;02107;BOURGUIGNON-SOUS-COUCY
02108;02;AISNE;02108;BOURGUIGNON-SOUS-MONTBAVIN
02109;02;AISNE;02109;LA BOUTEILLE
02110;02;AISNE;02110;BRAINE
02111;02;AISNE;02111;BRANCOURT-EN-LAONNOIS
02112;02;AISNE;02112;BRANCOURT-LE-GRAND
02114;02;AISNE;02114;BRASLES
02115;02;AISNE;02115;BRAYE-EN-LAONNOIS
02116;02;AISNE;02116;BRAYE-EN-THIÉRACHE
02117;02;AISNE;02117;BRAY-SAINT-CHRISTOPHE
02118;02;AISNE;02118;BRAYE
02119;02;AISNE;02119;BRÉCY
02120;02;AISNE;02120;BRENELLE
02121;02;AISNE;02121;BRENY
02123;02;AISNE;02123;BRISSAY-CHOIGNY
02124;02;AISNE;02124;BRISSY-HAMÉGICOURT
02125;02;AISNE;02125;BRUMETZ
02126;02;AISNE;02126;BRUNEHAMEL
02127;02;AISNE;02127;BRUYÈRES-SUR-FÈRE
02128;02;AISNE;02128;BRUYÈRES-ET-MONTBÉRAULT
02130;02;AISNE;02130;BUCILLY
02131;02;AISNE;02131;BUCY-LE-LONG
02132;02;AISNE;02132;BUCY-LÈS-CERNY
02133;02;AISNE;02133;BUCY-LÈS-PIERREPONT
02134;02;AISNE;02134;BUIRE
02135;02;AISNE;02135;BUIRONFOSSE
02136;02;AISNE;02136;BURELLES
02137;02;AISNE;02137;BUSSIARES
02138;02;AISNE;02138;BUZANCY
02139;02;AISNE;02139;CAILLOUËL-CRÉPIGNY
02140;02;AISNE;02140;CAMELIN
02141;02;AISNE;02141;LA CAPELLE
02142;02;AISNE;02142;CASTRES
02143;02;AISNE;02143;LE CATELET
02144;02;AISNE;02144;CAULAINCOURT
02145;02;AISNE;02145;CAUMONT
02146;02;AISNE;02146;CELLES-LÈS-CONDÉ
02148;02;AISNE;02148;CELLES-SUR-AISNE
02149;02;AISNE;02149;CERIZY
02150;02;AISNE;02150;CERNY-EN-LAONNOIS
02151;02;AISNE;02151;CERNY-LÈS-BUCY
02152;02;AISNE;02152;CERSEUIL
