codecommune;dep;nomcommune;nomdep;REV_revmoyfoy1992;REV_revmoyfoy2002;REV_revmoyfoy2012;REV_revmoyfoy2022;DBL_bug
01335;01;ST-ANDRE-LE-BOUCHOUX;AIN;30173.45108220099;27839.613;32156.385;38382.02;0
01336;01;ST-ANDRE-/-VIEUX-JONC;AIN;24760.6899740101;28528.682;32267.195;32498.064;0
01337;01;SAINT-BENIGNE;AIN;22065.76848728017;27104.678;31186.352;32522.98;0
01338;01;ST-BENOIT;AIN;21821.20373446533;26095.0;29522.795;29921.535;0
01339;01;ST-BERNARD;AIN;45640.68044924705;44812.004;55355.582;63983.887;0
01342;01;STE-CROIX;AIN;36478.13576259596;59021.012;41793.793;44567.707;0
01343;01;ST-CYR-/-MENTHON;AIN;23202.57075935019;27271.922;32233.678;34011.145;0
01344;01;ST-DENIS-LES-BOURG;AIN;34364.01632041991;38234.879;38788.602;37566.699;0
01345;01;ST-DENIS-EN-BUGEY;AIN;25437.55981620368;27656.498;30195.594;31413.146;0
01346;01;ST-DIDIER-D-AUSSIAT;AIN;21033.51058322984;25920.939;31063.176;33832.277;0
01347;01;ST-DIDIER-DE-FORMANS;AIN;36977.9394679634;41845.957;47325.355;46638.461;0
01348;01;ST-DIDIER-SUR-CHALARONNE;AIN;23711.47892919982;24610.717;28590.311;31112.465;0
01349;01;ST-ELOI;AIN;31138.83826436485;34867.602;44902.313;41954.926;0
01350;01;ST-ETIENNE-DU-BOIS;AIN;27022.36453020795;29975.346;33476.121;33208.375;0
01351;01;ST-ETIENNE/CHALARONNE;AIN;22931.00656013987;24726.252;30586.936;33599.379;0
01352;01;ST-ETIENNE-/-REYSSOUZE;AIN;20532.45108965797;25997.41;28515.195;28804.803;0
01353;01;STE-EUPHEMIE;AIN;33801.10925777932;37670.418;41994.164;44565.422;0
01354;01;ST-GENIS-POUILLY;AIN;19250.60527997504;36261.195;47250.332;46964.508;0
01355;01;ST-GENIS-/-MENTHON;AIN;24139.07481281191;31395.611;31240.012;34382.461;0
01356;01;ST-GEORGES-/-RENON;AIN;29435.04761798981;30835.734;38028.121;36445.469;0
01357;01;ST-GERMAIN-DE-JOUX;AIN;21257.98272477363;23490.133;26953.721;31856.107;0
01358;01;ST-GERMAIN-LES-PAROISSES;AIN;23263.16254021446;30237.729;31515.98;35089.316;0
01359;01;ST-GERMAIN-SUR-RENON;AIN;28040.49481695832;29750.848;37259.891;39828.5;0
01360;01;ST-JEAN-DE-GONVILLE;AIN;17514.79203438676;41576.496;58720.863;60669.441;0
01361;01;ST-JEAN-DE-NIOST;AIN;33271.16663550531;37698.82;48876.977;46539.363;0
01362;01;ST-JEAN-DE-THURIGNEUX;AIN;29034.1372337221;34908.777;40958.27;43030.0;0
01363;01;ST-JEAN-LE-VIEUX;AIN;25467.07083900804;27501.67;30781.631;31626.385;0
01364;01;ST-JEAN-SUR-REYSSOUZE;AIN;17147.16003753672;21521.557;27214.51;27483.59;0
