dep;codecommune;nomcommune;nomdep;PO0_electeurs1992;PO0_electeurs2002;PO0_electeurs2012;PO0_electeurs2022;DBL_bug
01;01274;NEYROLLES;AIN;337.62363;353.96695;367.57913;415.03574;0
01;01275;NEYRON;AIN;1262.7314;1619.8849;1914.7118;1831.7284;0
01;01276;NIEVROZ;AIN;783.40924;981.78937;1091.7903;1168.495;0
01;01277;NIVOLLET-MONTGRIFFON;AIN;56.18261;85.090912;95.770493;105.99712;0
01;01279;ONCIEU;AIN;55.469124;69.639023;73.7033;67.479996;0
01;01280;ORDONNAZ;AIN;102.68521;105.10476;113.12019;89.026779;0
01;01281;ORNEX;AIN;1280.9613;1524.8827;1948.3047;2467.4836;0
01;01282;OUTRIAZ;AIN;126.78345;134.82478;165.57851;136.77034;0
01;01283;OYONNAX;AIN;12470.36;13455.047;12765.062;12089.053;0
01;01284;OZAN;AIN;269.28299;344.65802;434.96933;602.61285;0
01;01285;PARCIEUX;AIN;609.49127;667.3114;804.3277;967.54413;0
01;01286;PARVES;AIN;423.79129;614.20111;720.15308;723.18958;0
01;01288;PERON;AIN;808.37372;1008.5917;1271.7649;1569.9291;0
01;01289;PERONNAS;AIN;3868.5383;4413.7578;4837.5439;5293.4058;0
01;01290;PEROUGES;AIN;681.98053;840.99213;950.94849;992.89923;0
01;01291;PERREX;AIN;456.63242;565.76715;579.97308;713.19714;0
01;01293;PEYRIAT;AIN;96.252831;108.64936;124.30157;104.89655;0
01;01294;PEYRIEU;AIN;396.17731;539.02063;613.59698;743.01764;0
01;01295;PEYZIEUX-SUR-SAONE;AIN;192.44904;239.35376;365.25583;484.38007;0
01;01296;PIRAJOUX;AIN;230.28;253.23431;303.22885;265.35422;0
01;01297;PIZAY;AIN;337.52066;442.51239;552.17957;819.4859;0
01;01298;PLAGNE;AIN;65.846825;68.578194;93.415802;151.94475;0
01;01299;PLANTAY;AIN;279.04471;300.64331;378.35547;448.36194;0
01;01301;POLLIAT;AIN;1503.1331;1633.2025;1785.8502;1995.2018;0
01;01302;POLLIEU;AIN;94.642105;110.39;117.36636;133.66653;0
01;01303;PONCIN;AIN;922.48138;1060.0322;1228.3452;1263.3262;0
